lyrics,artiste
Waiting as my heart drops,Adele
And my back begins to tingle,Adele
Finally could this be it or Should I give up,Adele
Or should I just keep chasing pavements?,Adele
Even if it leads nowhere,Adele
Or would it be a waste?,Adele
Even if I knew my place should I leave it there?,Adele
Should I give up,Adele
Or should I just keep chasing pavements?,Adele
Even if it leads nowhere yeah Should I give up,Adele
Or should I just keep chasing pavements?,Adele
Even if it leads nowhere,Adele
Or would it be a waste?,Adele
Even if I knew my place should I leave it there?,Adele
Should I give up,Adele
Or should I just keep on chasing pavements?,Adele
Should I just keep on chasing pavements? Or Should I give up,Adele
Or should I just keep chasing pavements?,Adele
Even if it leads nowhere,Adele
Or would it be a waste?,Adele
Even if I knew my place should I leave it there?,Adele
Should I give up,Adele
Or should I just keep chasing pavements?,Adele
Even if it leads nowhere When will I see you again?,Adele
You left with no goodbye not a single word was said,Adele
No final kiss to seal anything,Adele
I had no idea of the state we were in I know I have a fickle heart and a bitterness,Adele
And a wandering eye and a heaviness in my head,Adele
But don't you remember don't you remember?,Adele
The reason you loved me before,Adele
Baby please remember me once more When was the last time you thought of me?,Adele
Or have you completely erased me from your memories?,Adele
I often think about where I went wrong,Adele
The more I do the less I know But I know I have a fickle heart and a bitterness,Adele
And a wandering eye and a heaviness in my head,Adele
But don't you remember don't you remember?,Adele
The reason you loved me before,Adele
Baby please remember me once more Oh I gave you the space so you could breathe,Adele
I kept my distance so you would be free,Adele
In hope that you find the missing piece,Adele
To bring you back to me Why don't you remember don't you remember?,Adele
The reason you loved me before,Adele
Baby please remember me once more,Adele
When will I see you again? She she ain't real,Adele
She ain't gonna be able to love you like I will,Adele
She is a stranger,Adele
You and I have history,Adele
Or don't you remember,Adele
Sure she's got it all,Adele
But baby is that really what you want Bless your soul you've got you're head in the clouds,Adele
You made a fool out of you,Adele
And boy she's bringing you down,Adele
She made your heart melt,Adele
But you're cold to the core,Adele
Now rumor has it she ain't got your love anymore Rumor has it ooh,Adele
Rumor has it ooh,Adele
Rumor has it ooh,Adele
